id,s_id,stamp,time,amplitude
1,1,20230503133614,1160,220
2,2,20230503133614,117220,221
3,3,20230503133614,118380,217
4,4,20230503133614,119540,220
5,5,20230503133614,235600,221
6,6,20230503133614,236760,217
7,7,20230503133614,237920,220
8,8,20230503133614,353980,221
9,9,20230503133614,355140,217
10,10,20230503133614,356300,220
11,11,20230503133614,472360,221
12,12,20230503133614,473520,217
13,13,20230503133614,474680,220
14,14,20230503133614,590740,221
15,15,20230503133614,591900,217
16,16,20230503133614,593060,220
17,17,20230503133614,709120,221
18,18,20230503133614,710280,217
19,19,20230503133614,711440,220
20,20,20230503133619,712600,221
21,21,20230503133619,713752,221
22,22,20230503133619,714904,227
23,23,20230503133620,716056,230
24,24,20230503133620,717208,222
25,25,20230503133620,718360,218
26,26,20230503133620,719512,215
27,27,20230503133620,720664,220
28,28,20230503133620,721816,231
29,29,20230503133620,722968,233
30,30,20230503133620,724120,239
31,31,20230503133620,725272,250
32,32,20230503133620,726424,212
33,33,20230503133620,727576,207
34,34,20230503133620,728728,204
35,35,20230503133620,729880,225
36,36,20230503133620,731032,243
37,37,20230503133620,732184,234
38,38,20230503133620,733336,220
39,39,20230503133620,734488,212
40,40,20230503133620,735640,219
41,41,20230503133620,736792,217
42,42,20230503133620,737944,215
43,43,20230503133620,739096,209
44,44,20230503133620,740248,204
45,45,20230503133620,741400,210
46,46,20230503133620,742552,215
47,47,20230503133620,743704,225
48,48,20230503133620,744856,229
49,49,20230503133620,746008,236
50,50,20230503133620,747160,234
51,51,20230503133620,748312,230
52,52,20230503133620,749464,225
53,53,20230503133620,750616,221
54,54,20230503133620,751768,233
55,55,20230503133620,752920,237
56,56,20230503133620,754072,239
57,57,20230503133620,755224,232
58,58,20230503133620,756376,223
59,59,20230503133620,757528,219
60,60,20230503133620,758680,226
61,61,20230503133620,759832,227
62,62,20230503133620,760984,230
63,63,20230503133620,762136,222
64,64,20230503133620,763288,215
65,65,20230503133620,764440,212
66,66,20230503133620,765592,219
67,67,20230503133620,766744,225
68,68,20230503133620,767896,227
69,69,20230503133620,769048,228
70,70,20230503133620,770200,223
71,71,20230503133620,771352,220
72,72,20230503133620,772504,217
73,73,20230503133620,773656,222
74,74,20230503133620,774808,227
75,75,20230503133620,775960,230
76,76,20230503133620,777112,225
77,77,20230503133620,778264,221
78,78,20230503133620,779416,215
79,79,20230503133620,780568,218
80,80,20230503133620,781720,222
81,81,20230503133620,782872,227
82,82,20230503133620,784024,227
83,83,20230503133620,785176,221
84,84,20230503133621,786328,218
85,85,20230503133621,787480,216
86,86,20230503133621,788632,225
87,87,20230503133621,789784,226
88,88,20230503133621,790936,226
89,89,20230503133621,792088,223
90,90,20230503133621,793240,222
91,91,20230503133621,794392,216
92,92,20230503133621,795544,221
93,93,20230503133621,796696,222
94,94,20230503133621,797848,227
95,95,20230503133621,799000,219
96,96,20230503133621,800152,227
97,97,20230503133621,801304,224
98,98,20230503133621,802456,220
99,99,20230503133621,803608,226
100,100,20230503133621,804760,223
101,101,20230503133621,805912,228
102,102,20230503133621,807064,227
103,103,20230503133621,808216,225
104,104,20230503133621,809368,221
105,105,20230503133621,810520,221
106,106,20230503133621,811672,221
107,107,20230503133621,812824,229
108,108,20230503133621,813976,229
109,109,20230503133621,815128,228
110,110,20230503133621,816280,223
111,111,20230503133621,817432,219
112,112,20230503133621,818584,219
113,113,20230503133621,819736,222
114,114,20230503133621,820888,226
115,115,20230503133621,822040,224
116,116,20230503133621,823192,225
117,117,20230503133621,824344,222
118,118,20230503133621,825496,222
119,119,20230503133621,826648,220
120,120,20230503133621,827800,223
121,121,20230503133621,828952,223
122,122,20230503133621,830104,221
123,123,20230503133621,831256,219
124,124,20230503133621,832408,218
125,125,20230503133621,833560,219
126,126,20230503133621,834712,221
127,127,20230503133621,835864,226
128,128,20230503133621,837016,224
129,129,20230503133621,838168,227
130,130,20230503133621,839320,223
131,131,20230503133621,840472,223
132,132,20230503133621,841624,223
133,133,20230503133621,842776,226
134,134,20230503133621,843928,225
135,135,20230503133621,845080,227
136,136,20230503133621,846232,226
137,137,20230503133621,847384,221
138,138,20230503133621,848536,221
139,139,20230503133621,849688,221
140,140,20230503133621,850840,222
141,141,20230503133621,851992,224
142,142,20230503133621,853144,225
143,143,20230503133621,854296,223
144,144,20230503133621,855448,221
145,145,20230503133621,856600,221
146,146,20230503133621,857752,223
147,147,20230503133621,858904,225
148,148,20230503133621,860056,226
149,149,20230503133621,861208,227
150,150,20230503133622,862360,222
151,151,20230503133622,863512,225
152,152,20230503133622,864664,224
153,153,20230503133622,865816,225
154,154,20230503133622,866968,225
155,155,20230503133622,868120,226
156,156,20230503133622,869272,223
157,157,20230503133622,870424,221
158,158,20230503133622,871576,219
159,159,20230503133622,872728,222
160,160,20230503133622,873880,222
161,161,20230503133622,875032,223
162,162,20230503133622,876184,224
163,163,20230503133622,877336,220
164,164,20230503133622,878488,224
165,165,20230503133622,879640,222
166,166,20230503133622,880792,223
167,167,20230503133622,881944,219
168,168,20230503133622,883096,220
169,169,20230503133622,884248,223
170,170,20230503133622,885400,220
171,171,20230503133622,886552,219
172,172,20230503133622,887704,220
173,173,20230503133622,888856,219
174,174,20230503133622,890008,228
175,175,20230503133622,891160,226
176,176,20230503133622,892312,220
177,177,20230503133622,893464,226
178,178,20230503133622,894616,222
179,179,20230503133622,895768,221
180,180,20230503133622,896920,221
181,181,20230503133622,898072,223
182,182,20230503133622,899224,221
183,183,20230503133622,900376,225
184,184,20230503133622,901528,223
185,185,20230503133622,902680,224
186,186,20230503133622,903832,221
187,187,20230503133622,904984,222
188,188,20230503133622,906136,225
189,189,20230503133622,907288,222
190,190,20230503133622,908440,228
191,191,20230503133622,909592,225
192,192,20230503133622,910744,223
193,193,20230503133622,911896,220
194,194,20230503133622,913048,223
195,195,20230503133622,914200,222
196,196,20230503133622,915352,224
197,197,20230503133622,916504,225
198,198,20230503133622,917656,223
199,199,20230503133622,918808,218
200,200,20230503133622,919960,218
201,201,20230503133622,921112,222
202,202,20230503133622,922264,220
203,203,20230503133622,923416,225
204,204,20230503133622,924568,222
205,205,20230503133622,925720,219
206,206,20230503133622,926872,215
207,207,20230503133622,928024,220
208,208,20230503133622,929176,220
209,209,20230503133622,930328,225
210,210,20230503133622,931480,225
211,211,20230503133623,932632,223
212,212,20230503133623,933784,217
213,213,20230503133623,934936,222
214,214,20230503133623,936088,225
215,215,20230503133623,937240,222
216,216,20230503133623,938392,230
217,217,20230503133623,939544,227
218,218,20230503133623,940696,222
219,219,20230503133623,941848,218
220,220,20230503133623,943000,225
221,221,20230503133623,944152,222
222,222,20230503133623,945304,230
223,223,20230503133623,946456,229
224,224,20230503133623,947608,228
225,225,20230503133623,948760,221
226,226,20230503133623,949912,222
227,227,20230503133623,951064,221
228,228,20230503133623,952216,222
229,229,20230503133623,953368,227
230,230,20230503133623,954520,227
231,231,20230503133623,955672,203
232,232,20230503133623,956824,213
233,233,20230503133623,957976,214
234,234,20230503133623,959128,218
235,235,20230503133623,960280,225
236,236,20230503133623,961432,225
237,237,20230503133623,962584,223
238,238,20230503133623,963736,216
239,239,20230503133623,964888,217
240,240,20230503133623,966040,220
241,241,20230503133623,967192,222
242,242,20230503133623,968344,231
243,243,20230503133623,969496,229
244,244,20230503133623,970648,224
245,245,20230503133623,971800,219
246,246,20230503133623,972952,218
247,247,20230503133623,974104,219
248,248,20230503133623,975256,228
249,249,20230503133623,976408,228
250,250,20230503133623,977560,226
251,251,20230503133623,978712,218
252,252,20230503133623,979864,217
253,253,20230503133623,981016,216
254,254,20230503133623,982168,221
255,255,20230503133623,983320,226
256,256,20230503133623,984472,225
257,257,20230503133623,985624,211
258,258,20230503133623,986776,212
259,259,20230503133623,987928,211
260,260,20230503133623,989080,216
261,261,20230503133623,990232,223
262,262,20230503133623,991384,224
263,263,20230503133623,992536,223
264,264,20230503133623,993688,217
265,265,20230503133623,994840,217
266,266,20230503133623,995992,218
267,267,20230503133623,997144,222
268,268,20230503133623,998296,232
269,269,20230503133623,999448,235
270,270,20230503133623,1000608,217
271,271,20230503133624,1001760,225
272,272,20230503133624,1002912,222
273,273,20230503133624,1004064,219
274,274,20230503133624,1005216,229
275,275,20230503133624,1006368,231
276,276,20230503133624,1007520,231
277,277,20230503133624,1008672,221
278,278,20230503133624,1009824,216
279,279,20230503133624,1010976,215
280,280,20230503133624,1012128,220
281,281,20230503133624,1013280,228
282,282,20230503133624,1014432,228
283,283,20230503133624,1015584,222
284,284,20230503133624,1016736,215
285,285,20230503133624,1017888,213
286,286,20230503133624,1019040,214
287,287,20230503133624,1020192,219
288,288,20230503133624,1021344,222
289,289,20230503133624,1022496,219
290,290,20230503133624,1023648,217
291,291,20230503133624,1024800,215
292,292,20230503133624,1025952,214
293,293,20230503133624,1027104,218
294,294,20230503133624,1028256,224
295,295,20230503133624,1029408,234
296,296,20230503133624,1030560,234
297,297,20230503133624,1031712,223
298,298,20230503133624,1032864,218
299,299,20230503133624,1034016,217
300,300,20230503133624,1035168,227
301,301,20230503133624,1036320,229
302,302,20230503133624,1037472,229
303,303,20230503133624,1038624,223
304,304,20230503133624,1039776,219
305,305,20230503133624,1040928,214
306,306,20230503133624,1042080,217
307,307,20230503133624,1043232,225
308,308,20230503133624,1044384,228
309,309,20230503133624,1045536,217
310,310,20230503133624,1046688,213
311,311,20230503133624,1047840,210
312,312,20230503133624,1048992,213
313,313,20230503133624,1050144,222
314,314,20230503133624,1051296,226
315,315,20230503133624,1052448,227
316,316,20230503133624,1053600,220
317,317,20230503133624,1054752,215
318,318,20230503133624,1055904,216
319,319,20230503133624,1057056,221
320,320,20230503133624,1058208,228
321,321,20230503133624,1059360,230
322,322,20230503133624,1060512,254
323,323,20230503133624,1061664,221
324,324,20230503133624,1062816,218
325,325,20230503133624,1063968,219
326,326,20230503133624,1065120,228
327,327,20230503133624,1066272,227
328,328,20230503133624,1067424,233
329,329,20230503133624,1068576,228
330,330,20230503133624,1069728,197
331,331,20230503133624,1070880,217
332,332,20230503133625,1072032,223
333,333,20230503133625,1073184,227
334,334,20230503133625,1074336,231
335,335,20230503133625,1075488,231
336,336,20230503133625,1076640,222
337,337,20230503133625,1077792,215
338,338,20230503133625,1078944,218
339,339,20230503133625,1080096,220
340,340,20230503133625,1081248,227
341,341,20230503133625,1082400,233
342,342,20230503133625,1083552,226
343,343,20230503133625,1084704,229
344,344,20230503133625,1085856,218
345,345,20230503133625,1087008,219
346,346,20230503133625,1088160,223
347,347,20230503133625,1089312,231
348,348,20230503133625,1090464,217
349,349,20230503133625,1091616,223
350,350,20230503133625,1092768,221
351,351,20230503133625,1093920,221
352,352,20230503133625,1095072,231
353,353,20230503133625,1096224,231
354,354,20230503133625,1097376,237
355,355,20230503133625,1098528,230
356,356,20230503133625,1099680,228
357,357,20230503133625,1100832,226
358,358,20230503133625,1101984,226
359,359,20230503133625,1103136,230
360,360,20230503133625,1104288,234
361,361,20230503133625,1105440,211
362,362,20230503133625,1106592,222
363,363,20230503133625,1107744,221
364,364,20230503133625,1108896,218
365,365,20230503133625,1110048,220
366,366,20230503133625,1111200,223
367,367,20230503133625,1112352,224
368,368,20230503133625,1113504,223
369,369,20230503133625,1114656,221
370,370,20230503133625,1115808,215
371,371,20230503133625,1116960,215
372,372,20230503133625,1118112,218
373,373,20230503133625,1119264,227
374,374,20230503133625,1120416,225
375,375,20230503133625,1121568,223
376,376,20230503133625,1122720,218
377,377,20230503133625,1123872,215
378,378,20230503133625,1125024,221
379,379,20230503133625,1126176,227
380,380,20230503133625,1127328,229
381,381,20230503133625,1128480,227
382,382,20230503133625,1129632,218
383,383,20230503133625,1130784,214
384,384,20230503133625,1131936,219
385,385,20230503133625,1133088,223
386,386,20230503133625,1134240,226
387,387,20230503133625,1135392,221
388,388,20230503133625,1136544,220
389,389,20230503133625,1137696,218
390,390,20230503133625,1138848,217
391,391,20230503133625,1140000,221
392,392,20230503133625,1141152,224
393,393,20230503133625,1142304,226
394,394,20230503133626,1143456,223
395,395,20230503133626,1144608,220
396,396,20230503133626,1145760,217
397,397,20230503133626,1146912,218
398,398,20230503133626,1148064,221
399,399,20230503133626,1149216,225
400,400,20230503133626,1150368,222
401,401,20230503133626,1151520,222
402,402,20230503133626,1152672,221
403,403,20230503133626,1153824,219
404,404,20230503133626,1154976,223
405,405,20230503133626,1156128,227
406,406,20230503133626,1157280,228
407,407,20230503133626,1158432,227
408,408,20230503133626,1159584,227
409,409,20230503133626,1160736,219
410,410,20230503133626,1161888,219
411,411,20230503133626,1163040,220
412,412,20230503133626,1164192,224
413,413,20230503133626,1165344,224
414,414,20230503133626,1166496,222
415,415,20230503133626,1167648,215
416,416,20230503133626,1168800,215
417,417,20230503133626,1169952,218
418,418,20230503133626,1171104,222
419,419,20230503133626,1172256,234
420,420,20230503133626,1173408,219
421,421,20230503133626,1174560,217
422,422,20230503133626,1175712,220
423,423,20230503133626,1176864,222
424,424,20230503133626,1178016,225
425,425,20230503133626,1179168,221
426,426,20230503133626,1180320,215
427,427,20230503133626,1181472,217
428,428,20230503133626,1182624,223
429,429,20230503133626,1183776,221
430,430,20230503133626,1184928,229
431,431,20230503133626,1186080,227
432,432,20230503133626,1187232,223
433,433,20230503133626,1188384,222
434,434,20230503133626,1189536,223
435,435,20230503133626,1190688,220
436,436,20230503133626,1191840,222
437,437,20230503133626,1192992,225
438,438,20230503133626,1194144,227
439,439,20230503133626,1195296,223
440,440,20230503133626,1196448,224
441,441,20230503133626,1197600,225
442,442,20230503133626,1198752,222
443,443,20230503133626,1199904,230
444,444,20230503133626,1201056,226
445,445,20230503133626,1202208,196
446,446,20230503133626,1203360,216
447,447,20230503133626,1204512,216
448,448,20230503133626,1205664,219
449,449,20230503133626,1206816,225
450,450,20230503133626,1207968,226
451,451,20230503133626,1209120,226
452,452,20230503133626,1210272,221
453,453,20230503133626,1211424,222
454,454,20230503133626,1212576,221
455,455,20230503133626,1213728,219
456,456,20230503133626,1214880,223
457,457,20230503133626,1216032,223
458,458,20230503133626,1217184,246
459,459,20230503133626,1218336,221
460,460,20230503133626,1219488,220
461,461,20230503133626,1220640,218
462,462,20230503133626,1221792,226
463,463,20230503133626,1222944,224
464,464,20230503133627,1224096,223
465,465,20230503133627,1225248,217
466,466,20230503133627,1226400,216
467,467,20230503133627,1227552,216
468,468,20230503133627,1228704,221
469,469,20230503133627,1229856,226
470,470,20230503133627,1231008,226
471,471,20230503133627,1232160,221
472,472,20230503133627,1233312,231
473,473,20230503133627,1234464,217
474,474,20230503133627,1235616,216
475,475,20230503133627,1236768,223
476,476,20230503133627,1237920,222
477,477,20230503133627,1239072,224
478,478,20230503133627,1240224,220
479,479,20230503133627,1241376,219
480,480,20230503133627,1242528,220
481,481,20230503133627,1243680,222
482,482,20230503133627,1244832,226
483,483,20230503133627,1245984,227
484,484,20230503133627,1247136,207
485,485,20230503133627,1248288,224
486,486,20230503133627,1249440,220
487,487,20230503133627,1250592,219
488,488,20230503133627,1251744,227
489,489,20230503133627,1252896,225
490,490,20230503133627,1254048,229
491,491,20230503133627,1255200,223
492,492,20230503133627,1256352,220
493,493,20230503133627,1257504,218
494,494,20230503133627,1258656,221
495,495,20230503133627,1259808,223
496,496,20230503133627,1260960,227
497,497,20230503133627,1262112,298
498,498,20230503133627,1263264,218
499,499,20230503133627,1264416,217
500,500,20230503133627,1265568,218
501,501,20230503133627,1266720,222
502,502,20230503133627,1267872,223
503,503,20230503133627,1269024,223
504,504,20230503133627,1270176,218
505,505,20230503133627,1271328,216
506,506,20230503133627,1272480,214
